label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127
0.03	north1_all	80	26977	20410	7949	5350	3908	2425	1960	2018	1359	1620	1603	888	684	1052	687	553	433	380	609	482	423	272	315	169	167	278	145	154	167	176	175	86	121	97	94	60	65	57	63	69	47	34	38	52	38	27	31	30	29	28	15	35	20	18	8	13	9	12	12	11	9	10	3	5	6	12	5	2	1	1	4	1	4	2	1	2	2	0	2	1	1	3	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
0.03	north1_active	80	14460	12792	4234	2805	1940	1089	890	1061	599	888	949	387	313	627	349	262	183	182	359	283	245	132	167	82	74	156	72	76	92	94	102	41	72	46	46	31	28	30	35	44	32	8	17	36	21	12	15	21	18	20	7	18	12	11	2	4	7	5	3	7	4	4	2	4	3	10	5	1	1	0	2	1	1	2	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_all	80	27800	21195	8002	5548	3972	2464	1895	2066	1408	1707	1693	892	717	1077	709	548	420	376	591	536	426	294	333	173	168	304	153	158	156	172	195	75	117	102	109	69	57	66	63	62	44	35	40	59	34	29	31	61	28	29	14	26	25	15	12	17	12	8	12	11	11	12	3	5	6	10	6	3	1	2	3	2	1	2	0	1	2	2	1	0	1	2	0	1	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	15135	13181	4335	2987	2050	1110	833	1138	627	937	977	394	344	635	365	262	191	178	345	312	248	151	182	80	73	166	75	79	94	95	120	36	72	49	63	29	23	38	35	41	25	9	18	41	18	14	15	40	22	16	7	12	16	9	4	8	9	3	3	8	6	6	2	4	1	9	6	1	0	1	1	2	1	1	0	0	1	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	28240	21465	8197	5703	4041	2409	1890	2110	1409	1761	1736	839	744	1052	724	544	403	413	708	530	420	289	325	171	163	284	152	173	148	162	166	82	116	91	115	66	50	79	68	66	38	32	37	70	40	26	28	55	35	30	12	20	26	20	12	18	18	7	8	12	11	10	7	4	6	9	3	3	1	1	3	1	3	1	0	3	3	3	2	1	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	15431	13321	4448	3067	2053	1105	830	1145	633	970	991	377	374	624	395	258	187	191	423	302	267	142	172	66	71	171	73	94	89	85	102	34	79	41	63	29	20	51	35	38	21	12	19	48	17	13	15	35	20	17	8	7	20	11	4	9	16	3	3	10	5	4	4	3	2	9	3	2	0	1	1	1	2	0	0	0	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	28353	20980	8179	5619	3999	2408	1907	2145	1383	1777	1717	818	750	1024	723	505	402	429	746	511	379	296	313	171	149	274	163	166	146	162	181	66	110	89	113	66	44	79	68	78	41	34	30	66	35	22	26	56	34	33	18	26	31	20	14	18	16	3	4	8	8	6	6	3	8	5	5	3	1	2	3	3	4	1	0	4	3	3	2	1	0	0	1	0	0	0	1	1	2	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north4_active	80	15487	13003	4453	3018	2102	1068	871	1147	649	1007	994	374	387	579	395	245	189	208	433	293	237	146	176	66	70	166	81	95	89	97	101	32	70	50	70	28	17	45	37	42	21	15	15	43	16	9	15	35	18	18	11	9	24	12	5	12	14	2	1	6	4	4	3	2	3	5	4	2	0	1	2	1	1	0	0	0	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_all	80	28615	21798	8444	5638	4131	2470	1999	2134	1389	1829	1795	824	738	1033	761	531	403	438	775	499	420	276	308	177	163	274	148	167	156	193	171	77	109	101	129	73	43	109	56	89	48	36	29	44	37	16	28	35	27	38	20	20	26	22	17	18	15	3	3	6	11	4	9	2	7	9	9	3	2	2	5	2	5	2	0	4	3	2	3	3	0	2	1	0	0	0	1	2	2	0	2	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	15645	13484	4705	3061	2170	1079	932	1120	649	1042	1040	378	384	609	402	263	198	220	439	292	272	135	170	70	75	178	74	94	103	126	96	35	72	51	84	35	20	67	28	49	24	18	14	22	20	4	15	20	12	24	14	11	19	16	5	11	11	2	2	4	6	3	6	1	3	9	8	1	2	1	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	29464	22808	8655	5817	4214	2533	2012	2268	1391	1840	1818	828	776	1117	762	535	443	421	790	556	443	286	332	201	157	285	151	161	188	182	184	71	111	109	134	79	50	111	75	77	51	33	33	54	38	20	38	35	30	38	20	28	26	26	15	16	6	6	7	16	20	2	10	3	7	13	8	4	3	3	8	2	5	3	0	2	3	4	3	2	0	2	2	0	0	1	0	2	2	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	16371	14252	4865	3189	2322	1137	935	1202	653	1077	1077	385	405	675	427	265	206	225	478	321	284	129	174	78	72	172	80	84	128	128	114	36	70	56	93	42	22	66	48	45	26	18	16	27	25	9	26	18	20	22	12	16	20	15	6	11	2	5	4	14	15	2	7	2	4	12	7	2	2	0	4	0	0	1	0	0	1	1	0	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	30418	24095	9002	5918	4353	2599	1996	2328	1438	1860	1845	847	799	1176	806	546	453	432	763	655	464	325	327	212	172	346	150	167	183	186	193	73	131	129	134	99	49	112	86	88	62	34	38	48	36	24	39	40	35	34	22	30	17	19	14	16	11	9	10	20	20	4	7	4	6	9	10	5	4	2	6	4	5	3	1	2	2	3	2	3	0	2	2	0	0	1	0	3	1	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
0.03	north7_active	80	17183	15128	5097	3265	2462	1197	915	1252	671	1107	1090	385	411	738	450	287	217	230	444	385	309	148	185	82	81	211	73	82	112	123	125	37	72	67	89	64	26	68	53	60	34	17	17	28	27	9	27	20	28	18	16	19	11	11	6	8	3	6	6	11	15	4	4	3	4	8	10	2	2	0	3	1	1	1	1	1	0	1	0	1	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	31223	25030	9136	6262	4497	2605	2025	2395	1472	1962	1906	910	829	1170	829	579	463	444	746	648	514	327	345	213	182	350	145	184	209	176	205	76	151	123	123	90	48	110	98	82	62	28	46	52	39	20	43	39	31	25	21	49	17	18	11	22	12	9	11	25	18	7	9	3	8	5	8	5	5	2	7	3	5	6	1	3	2	2	1	4	0	0	2	0	0	2	0	1	1	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
0.03	north8_active	80	17773	15814	5233	3489	2579	1226	938	1310	686	1190	1127	416	435	717	487	314	224	239	477	387	359	155	196	95	84	221	66	105	131	120	131	39	87	64	82	57	31	56	63	61	39	16	22	28	23	11	33	18	23	15	13	38	12	8	5	12	5	7	6	17	11	5	3	2	4	4	7	3	3	0	5	1	2	2	1	1	0	1	0	1	0	0	2	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	30931	25311	9178	6237	4460	2585	1907	2423	1472	1958	1874	930	815	1215	810	569	460	455	725	710	479	313	325	193	189	378	148	163	190	177	188	80	140	121	118	78	48	117	83	100	59	32	42	67	38	22	34	31	23	24	23	47	21	16	10	20	14	11	10	28	16	8	10	2	6	1	11	5	2	0	5	4	6	7	1	2	1	1	1	3	0	2	3	2	0	2	0	1	0	1	1	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north9_active	80	17552	16177	5286	3446	2499	1247	863	1337	713	1189	1115	437	444	749	449	299	231	231	465	433	317	160	196	92	86	225	55	91	114	124	110	40	85	63	75	51	28	61	49	78	40	19	22	32	25	8	18	17	14	17	13	34	13	6	5	11	9	7	7	19	10	4	4	2	3	1	7	4	1	0	4	2	2	3	1	1	0	0	0	1	0	0	3	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	31066	25285	9080	6331	4377	2635	1955	2426	1478	2017	1927	916	858	1213	781	589	473	450	788	723	499	285	331	180	184	352	166	165	182	198	182	94	145	107	94	82	44	109	78	117	44	36	45	82	41	22	35	32	28	24	21	63	22	19	11	18	17	8	11	23	10	8	11	3	5	2	10	3	1	2	3	5	7	7	0	2	0	0	1	2	0	3	4	3	0	1	1	0	0	2	1	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	17577	16057	5229	3546	2432	1281	926	1350	725	1209	1153	428	454	721	433	302	235	222	532	446	330	141	179	92	84	224	65	93	112	141	104	49	91	61	59	50	24	49	49	91	27	16	21	43	24	6	19	15	18	18	9	37	13	10	6	11	11	2	5	10	4	2	5	1	3	2	6	3	1	2	3	1	4	3	0	1	0	0	0	0	0	0	4	1	0	1	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	28197	21061	8022	5577	4094	2482	1945	2089	1422	1758	1699	799	801	1047	708	516	430	422	692	556	454	274	314	173	169	314	162	189	165	204	171	89	135	95	96	67	50	81	69	107	49	33	33	40	51	22	35	35	31	23	15	34	17	15	11	10	13	12	10	12	7	5	9	4	6	4	19	1	2	1	4	5	1	5	1	1	2	0	0	3	1	5	2	2	1	0	1	2	1	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
