label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183
0.03	south32_all	80	5870	2501	2155	951	818	984	652	595	359	427	419	288	586	230	331	385	137	172	160	116	128	115	264	98	180	59	83	61	82	117	77	47	55	51	61	43	33	56	43	40	29	28	17	44	13	28	29	34	10	14	25	25	26	13	14	16	9	7	16	8	4	10	18	6	5	8	16	7	5	15	11	8	2	7	4	17	3	2	1	4	7	1	7	3	7	14	1	3	2	1	0	3	3	2	1	1	1	1	3	6	5	0	2	0	1	3	1	2	0	2	0	4	0	1	0	0	0	0	0	0	0	1	2	0	2	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	3263	1293	1337	459	403	582	370	310	178	247	241	138	375	129	229	264	74	91	92	54	71	59	175	47	116	22	46	29	47	66	37	17	37	23	37	18	25	31	34	24	12	19	10	30	8	18	18	21	5	6	8	19	18	4	6	9	3	2	8	3	1	4	11	4	2	4	12	2	4	9	10	4	2	2	2	16	1	2	0	3	5	1	3	2	5	14	1	3	2	1	0	2	3	0	0	1	0	1	1	5	5	0	1	0	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	5793	2482	2215	916	808	976	667	624	356	405	408	290	599	220	334	402	145	150	147	112	128	98	271	95	208	48	86	45	76	101	95	52	58	47	61	37	31	44	48	39	31	31	15	43	18	26	32	39	10	16	34	26	23	9	15	18	9	8	15	6	4	10	19	7	5	9	12	6	6	23	16	6	2	5	3	15	4	2	0	4	6	2	5	5	9	13	2	4	3	0	0	5	3	3	1	1	0	6	0	7	9	0	6	0	1	2	1	1	0	2	1	4	1	1	0	0	0	0	0	0	0	0	2	0	1	3	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	3244	1298	1341	426	396	584	376	323	162	219	241	138	382	116	231	270	85	79	91	50	71	45	177	42	131	16	46	20	44	58	58	21	35	18	34	15	21	21	37	23	14	23	6	26	11	15	18	26	5	7	13	20	14	2	6	8	3	2	8	3	2	2	13	5	2	5	7	1	3	14	14	2	2	2	2	12	1	2	0	3	5	1	2	2	5	13	1	3	3	0	0	3	3	1	0	1	0	5	0	5	9	0	5	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	5849	2416	2201	920	824	954	691	636	354	425	404	287	599	217	359	377	145	151	145	118	120	101	264	86	201	45	81	46	78	95	96	47	64	36	56	40	30	40	50	35	30	37	17	44	21	23	40	35	9	19	31	38	22	9	17	25	11	13	12	6	3	9	16	7	7	7	13	6	6	26	12	6	3	6	3	15	3	0	1	3	5	3	3	5	3	6	2	4	3	1	2	4	2	3	0	1	1	5	0	7	9	0	4	1	0	4	1	1	0	1	2	3	1	1	0	0	1	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south34_active	80	3229	1273	1306	460	409	563	395	343	158	224	245	148	376	116	225	237	82	81	86	58	68	45	166	36	133	17	36	25	45	55	70	22	38	15	33	21	22	25	37	19	12	29	6	32	11	14	25	26	3	7	14	23	16	3	9	14	5	4	6	2	2	2	9	5	5	3	8	3	2	18	11	3	2	1	2	10	1	0	1	2	5	1	1	1	1	6	1	1	3	0	0	2	1	1	0	1	1	4	0	4	9	0	4	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south35_all	80	5820	2397	2167	986	828	928	730	593	373	430	394	299	599	193	389	403	158	154	130	122	111	100	245	77	222	55	74	51	73	123	106	50	55	35	77	40	30	43	47	33	24	43	20	49	18	17	36	24	15	17	28	38	33	9	16	20	11	17	11	8	6	11	19	7	5	8	15	8	9	27	13	4	3	6	2	12	5	2	1	1	6	5	2	5	2	9	5	5	3	4	2	3	2	2	1	0	2	5	0	6	5	1	4	1	1	3	0	1	0	1	2	2	1	0	0	0	2	0	0	0	2	0	2	0	1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south35_active	80	3274	1251	1244	471	411	541	418	329	159	228	229	169	374	106	243	250	93	87	70	62	48	45	169	34	138	25	28	30	41	82	75	26	32	15	44	28	18	24	33	14	9	30	9	33	10	9	24	20	6	7	15	20	23	4	10	10	5	8	6	3	3	4	11	5	4	3	8	5	1	19	11	2	1	3	1	8	2	2	1	1	5	3	1	1	0	9	2	2	3	2	0	2	1	1	1	0	1	4	0	3	5	1	4	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	2	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south36_all	80	5908	2397	2178	998	793	934	698	623	365	404	374	291	615	200	408	368	153	152	112	128	132	97	241	82	230	61	60	54	71	134	96	48	53	21	74	37	35	62	34	36	17	48	21	47	18	13	39	13	15	14	21	38	34	8	16	14	8	16	14	8	7	8	17	4	9	4	13	9	8	26	8	1	5	7	1	5	4	6	3	1	4	6	1	4	4	9	5	3	1	5	2	1	1	2	5	0	2	3	0	4	1	2	0	1	5	3	1	0	0	0	1	0	0	1	0	0	2	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south36_active	80	3349	1190	1242	480	397	550	413	359	156	219	227	169	396	110	253	245	87	77	61	73	66	47	161	37	165	29	26	36	42	94	58	27	30	9	44	26	20	41	19	18	3	29	10	34	8	6	28	10	8	5	11	20	21	4	11	9	3	9	7	2	2	4	10	3	5	2	5	6	1	19	4	1	2	4	1	3	1	6	3	1	1	3	1	1	3	8	3	1	0	2	0	0	0	1	5	0	1	3	0	2	1	2	0	0	4	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south37_all	80	5892	2405	2239	982	791	948	656	612	381	449	358	283	593	208	372	366	163	153	115	124	139	97	242	83	216	68	54	51	71	126	85	45	47	25	79	35	37	57	30	47	18	41	24	72	24	17	34	15	15	16	18	31	31	9	13	8	5	15	17	7	12	16	14	3	10	4	13	8	8	21	11	2	6	5	0	8	4	6	4	2	5	7	0	2	3	11	6	1	2	5	1	1	0	2	5	0	2	0	1	2	1	2	0	2	5	3	1	3	0	0	1	0	0	1	0	0	2	0	1	0	2	0	0	0	0	4	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south37_active	80	3329	1190	1292	462	390	575	392	346	171	260	217	161	396	114	234	244	91	78	59	66	73	53	161	39	146	31	29	34	38	93	52	22	28	9	43	22	18	37	16	19	8	26	12	51	13	8	23	12	7	8	11	14	17	4	9	5	2	9	8	2	4	8	5	2	5	2	5	6	1	14	6	2	3	4	0	6	1	6	2	2	1	4	0	1	3	10	3	1	0	3	0	0	0	0	5	0	1	0	1	2	1	2	0	0	4	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south38_all	80	5903	2454	2214	930	772	980	648	609	366	491	355	308	580	216	343	367	156	148	111	114	146	89	263	92	217	68	50	47	73	108	100	47	52	34	69	37	40	56	39	52	23	32	25	60	26	15	29	20	16	16	20	15	26	13	11	8	6	14	15	5	9	10	10	3	8	3	15	5	7	22	14	3	7	8	0	10	1	6	5	2	4	3	2	1	3	8	4	2	3	6	0	1	0	3	6	0	1	0	2	0	2	2	1	5	4	2	1	3	1	0	8	1	0	1	0	0	0	0	1	0	2	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_active	80	3405	1235	1324	435	379	579	387	332	169	296	212	163	391	128	218	249	85	78	59	57	85	51	157	46	155	32	34	29	38	82	60	25	30	11	38	20	18	40	25	27	11	18	12	42	15	7	20	14	8	9	15	8	14	6	6	3	2	9	6	1	4	4	4	1	4	2	7	3	1	15	8	3	5	7	0	7	0	5	2	2	0	1	1	0	3	7	2	2	0	3	0	0	0	0	4	0	1	0	1	0	1	2	0	3	4	0	1	2	1	0	8	0	0	0	0	0	0	0	1	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	5895	2476	2218	925	783	943	625	632	376	480	344	302	611	226	331	379	146	149	119	107	133	97	239	98	198	68	59	54	94	86	109	42	54	41	65	45	47	45	59	52	28	22	24	69	36	18	28	24	18	17	24	25	25	16	9	10	7	8	13	2	9	10	12	7	5	9	13	6	6	25	13	6	6	6	0	10	1	3	3	3	5	4	4	1	1	4	2	2	2	3	0	1	0	2	6	0	1	0	3	2	1	2	1	6	0	2	0	3	1	0	10	1	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south39_active	80	3398	1323	1344	426	389	543	347	352	177	288	199	146	413	126	212	272	75	80	59	44	79	52	155	51	136	34	37	27	52	63	74	24	31	14	39	21	23	30	41	30	12	12	12	46	20	9	16	14	9	9	16	11	15	10	4	7	3	3	5	0	6	6	7	2	3	5	9	3	3	14	8	6	4	3	0	7	0	2	0	2	3	2	1	0	0	4	1	2	0	1	0	0	0	0	4	0	1	0	1	2	0	2	0	4	0	0	0	2	1	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	5887	2436	2168	941	781	976	660	620	369	444	358	305	627	216	324	362	142	142	130	120	119	94	212	89	192	61	71	59	99	94	127	46	57	43	64	50	48	41	67	57	32	27	27	66	30	15	28	24	16	20	24	31	28	18	12	12	11	11	10	9	7	10	8	10	6	13	9	7	6	39	8	7	9	10	1	11	4	2	3	3	6	3	6	2	2	4	1	2	1	5	0	0	1	2	3	0	1	1	3	2	2	2	1	8	1	2	1	2	1	4	11	3	0	0	1	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south40_active	80	3392	1318	1301	429	390	540	373	337	179	263	216	146	421	116	215	254	72	71	64	55	64	48	145	44	137	36	38	21	55	68	84	29	25	19	43	25	26	27	44	39	12	13	15	53	18	10	16	15	10	10	15	17	16	12	8	8	5	4	6	3	5	6	5	3	3	5	6	3	2	27	6	7	5	3	1	8	1	1	2	2	4	1	2	0	0	4	1	2	0	3	0	0	0	0	0	0	1	1	1	2	0	2	0	4	0	0	1	0	1	4	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
