label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183
0.03	north1_all	80	8657	3011	1489	1032	1116	1426	2142	436	408	374	284	281	279	248	190	164	127	176	152	123	163	231	309	87	69	75	64	59	79	163	88	85	64	110	33	48	69	63	28	33	30	42	31	21	31	80	22	29	18	41	13	9	9	14	38	18	12	13	12	6	13	7	10	15	5	11	17	4	4	3	12	16	5	4	3	10	9	6	4	7	3	1	2	3	4	0	3	0	0	0	5	2	2	1	2	6	2	4	3	2	3	2	0	4	0	0	2	6	5	0	0	0	2	10	4	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	6538	1967	456	279	708	1148	1962	156	162	141	85	68	146	99	43	44	29	36	88	71	112	194	281	16	16	22	29	18	42	147	64	65	45	91	10	28	49	55	11	11	19	28	21	7	15	77	11	24	10	38	1	3	5	4	32	6	6	2	10	2	8	1	5	14	1	4	16	1	4	0	5	15	4	1	1	10	8	4	3	5	3	1	1	3	3	0	2	0	0	0	2	2	1	0	1	4	0	4	1	1	1	1	0	4	0	0	2	5	4	0	0	0	1	10	4	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	8601	3038	1497	1034	1159	1354	2191	441	417	378	313	273	266	256	196	184	145	169	146	136	171	228	352	85	70	80	66	57	78	189	106	90	64	108	36	47	65	82	28	30	32	47	34	25	27	84	20	32	15	31	9	15	8	16	38	15	8	10	12	11	10	12	11	20	7	8	16	5	4	2	11	20	5	6	7	8	15	6	4	8	3	2	1	4	4	1	1	2	1	1	3	2	3	1	2	8	2	1	3	1	4	3	0	3	2	0	2	5	5	0	1	2	1	20	3	0	0	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6488	1984	460	281	730	1103	1998	147	167	138	109	72	130	109	42	58	33	40	77	78	117	191	318	18	16	22	29	20	41	170	72	68	43	93	10	28	46	75	11	11	15	36	21	9	12	81	12	28	8	29	1	4	6	5	32	3	4	2	9	2	6	4	4	18	2	2	12	1	4	2	1	16	4	2	6	8	14	3	3	7	3	1	1	3	3	0	1	2	1	0	1	2	2	0	1	4	1	1	1	1	1	2	0	3	2	0	2	5	4	0	0	0	1	20	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	8612	3026	1530	1021	1192	1296	2194	442	410	362	321	268	259	243	203	189	141	162	152	155	171	262	338	89	73	78	68	55	85	223	116	108	59	82	42	48	59	74	32	32	38	48	39	26	30	88	22	27	20	35	8	21	9	19	33	13	10	12	13	10	7	15	11	41	5	5	18	6	3	5	9	15	8	4	14	2	13	8	5	10	3	3	0	7	4	1	1	3	1	2	2	1	2	0	0	8	1	1	2	2	3	5	0	2	2	0	2	1	6	0	1	2	1	12	3	0	0	2	0	0	0	0	0	1	1	1	1	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	6523	1920	466	280	764	1057	2005	142	164	137	113	69	113	109	45	62	39	43	73	85	119	228	311	24	18	22	27	21	45	201	80	90	33	69	11	32	46	61	14	8	19	36	26	8	12	86	13	23	11	33	1	9	9	5	27	3	7	5	8	2	3	8	6	39	1	2	14	1	3	3	0	10	6	1	12	1	13	3	3	9	2	1	0	6	3	0	0	3	1	0	1	1	2	0	0	4	1	1	0	1	1	2	0	2	2	0	2	1	4	0	0	0	1	12	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8634	3051	1522	1053	1184	1303	2114	465	418	348	329	271	240	234	211	172	147	161	157	162	158	297	370	90	82	78	65	61	74	224	119	123	70	78	39	47	62	73	35	29	38	61	46	27	24	115	23	36	19	30	2	27	12	20	32	16	13	8	14	8	10	17	7	58	7	3	17	6	4	9	4	19	5	5	15	13	11	6	3	8	3	3	2	7	5	2	1	4	1	3	2	0	1	0	1	5	1	0	1	4	2	4	1	4	2	0	1	1	2	0	1	2	0	12	2	0	0	2	0	0	0	0	0	2	1	1	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	6509	1975	458	299	776	1086	1938	140	177	139	117	78	103	109	47	62	40	44	76	88	109	265	341	27	18	26	23	22	43	198	88	102	47	62	13	30	52	60	12	5	18	53	33	9	6	111	14	29	12	27	0	11	9	5	27	6	9	5	8	1	7	10	4	53	2	3	13	1	3	4	0	13	3	2	11	12	11	1	1	8	1	1	2	6	5	0	0	3	1	0	1	0	1	0	1	2	1	0	0	2	0	2	0	1	2	0	0	1	1	0	0	0	0	12	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_all	80	8579	3009	1534	1046	1162	1365	2143	452	386	347	329	273	248	237	189	147	146	157	155	152	154	293	345	87	87	72	64	68	70	212	109	134	74	73	46	50	53	66	34	27	33	58	45	25	19	107	17	35	18	38	5	24	10	22	31	13	26	7	15	7	10	10	7	60	7	5	15	4	5	10	0	13	6	4	32	12	8	6	4	10	4	1	3	6	8	2	2	3	1	5	1	0	0	0	2	3	6	0	2	4	2	4	2	4	1	0	1	0	1	1	0	0	1	2	4	1	1	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	5	0	4	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	6493	1932	449	289	764	1138	1967	130	159	142	111	82	104	118	47	55	38	39	80	86	102	261	314	30	19	23	22	25	41	184	85	116	52	58	14	35	41	49	10	3	20	48	31	3	5	100	12	28	13	34	1	11	7	3	27	6	20	6	10	1	7	6	4	55	1	5	13	0	4	2	0	9	3	2	28	11	8	1	2	9	1	0	2	5	8	0	0	2	1	0	1	0	0	0	2	2	6	0	0	2	0	2	1	1	1	0	0	0	0	0	0	0	0	2	4	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	5	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
