label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71
0.03	north1_all	80	50287	14783	8121	8096	3865	3216	5304	1790	1213	928	1029	740	945	548	764	281	283	193	180	140	201	237	100	86	76	76	53	27	44	20	18	13	15	16	38	10	11	6	6	5	12	3	2	2	2	9	1	1	3	2	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1
0.03	north1_active	80	36982	6272	2304	5634	1359	1638	4700	896	411	212	676	355	741	342	662	119	181	39	103	55	170	214	60	65	65	61	36	9	31	2	5	0	10	9	37	5	10	3	1	3	11	2	1	0	1	5	0	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
0.03	north2_all	80	50140	14845	8223	8129	3876	3180	5382	1837	1239	911	1048	725	952	575	810	279	301	191	176	143	204	237	105	84	78	67	53	27	51	19	15	8	13	19	36	11	14	7	3	4	8	4	2	3	1	9	1	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1
0.03	north2_active	80	36740	6330	2400	5648	1365	1609	4791	949	416	198	710	347	745	349	709	103	193	37	97	52	175	212	64	66	67	54	35	11	39	3	6	0	7	9	35	7	12	4	0	2	8	3	1	0	1	5	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
0.03	north3_all	80	50683	14891	8170	8067	3919	3109	5366	1797	1238	974	1003	736	939	554	843	295	324	194	166	142	197	229	126	88	88	60	53	33	57	21	23	12	9	24	32	13	11	9	5	1	10	4	2	4	3	7	1	2	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	37309	6387	2387	5626	1374	1560	4743	908	419	219	685	347	748	323	734	102	204	40	98	47	169	207	83	67	77	49	31	11	49	3	8	0	4	14	30	7	9	3	1	0	10	3	1	0	3	4	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	50661	15016	8184	7890	3820	3071	5584	1819	1237	989	957	721	874	538	839	261	308	196	164	136	213	211	129	71	92	60	46	36	48	16	20	11	10	20	14	11	14	10	4	2	6	3	3	3	2	6	2	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	37192	6501	2380	5520	1298	1533	4963	941	409	212	653	342	689	338	726	88	198	41	84	41	182	188	87	48	80	42	25	11	42	2	6	1	4	12	13	5	11	2	1	1	6	1	2	0	2	4	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	50769	14861	8166	7953	3858	3109	5743	1742	1227	971	992	754	835	537	835	272	307	205	181	140	244	215	121	81	90	57	46	31	31	21	17	16	10	10	16	12	11	11	6	4	7	1	3	2	2	1	2	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	37402	6411	2371	5575	1295	1551	5108	889	416	213	689	370	652	345	726	93	208	43	89	42	213	184	81	43	76	40	27	8	26	6	6	2	6	8	14	4	8	2	1	3	7	0	2	0	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	50438	14900	8162	8054	3828	3153	5808	1725	1240	965	1040	728	807	526	772	274	289	198	176	124	303	227	122	86	95	66	56	28	38	26	12	15	9	8	19	9	19	5	6	3	2	1	2	2	0	1	2	1	0	7	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	37017	6370	2339	5672	1265	1576	5176	892	415	198	694	347	625	349	674	100	191	47	85	44	272	193	68	47	83	48	37	8	32	7	5	3	6	7	16	3	16	0	1	3	2	0	2	0	0	1	1	1	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	50762	14774	8156	8178	3842	3206	5684	1801	1242	944	1065	696	775	559	768	280	304	212	189	127	314	242	117	90	82	83	63	32	52	31	16	20	13	9	33	10	16	4	7	2	4	0	0	2	1	3	1	1	1	7	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
