label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70
0.03	north1_all	80	44040	12499	7852	5012	3539	3714	1893	2293	1405	902	1525	906	739	396	342	292	261	296	172	152	103	82	82	126	82	95	31	48	60	47	53	25	11	27	8	14	6	8	7	2	4	3	4	3	1	3	0	7	0	0	1	0	0	1	2	1	0	0	0	1	0	1	0	0	0	0	0	1	1	4	0
0.03	north1_active	80	25722	5802	3893	2463	1745	2222	959	1354	784	454	938	506	420	205	188	160	152	192	109	89	56	38	46	79	52	64	14	29	41	36	31	18	5	16	3	12	5	3	2	0	2	2	2	3	1	3	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
0.03	north2_all	80	44470	12363	7870	5082	3599	3709	1940	2324	1387	902	1553	896	722	412	319	299	264	328	169	176	95	73	74	129	73	72	30	42	58	55	54	24	15	26	4	8	6	5	7	0	7	2	5	3	2	1	1	7	0	0	1	0	3	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	4	0
0.03	north2_active	80	25977	5783	3871	2526	1772	2229	976	1395	754	457	958	525	397	199	165	152	142	224	95	100	50	32	43	85	44	47	12	23	34	42	32	14	4	15	2	7	4	2	2	0	1	1	3	3	2	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
0.03	north3_all	80	44544	12384	7940	5138	3611	3744	1981	2311	1461	907	1637	883	696	408	306	301	256	331	179	188	91	79	69	118	73	65	29	45	57	65	57	30	17	19	5	11	5	6	6	0	12	3	2	3	1	1	2	7	0	2	1	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	4	0
0.03	north3_active	80	25891	5820	3934	2584	1816	2187	962	1364	810	463	1092	511	380	208	160	151	139	228	94	100	35	39	41	84	43	38	14	28	35	49	36	19	6	12	2	8	3	2	2	0	4	1	1	3	1	1	2	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0
0.03	north4_all	80	44145	12326	7885	5133	3595	3708	2014	2279	1434	870	1638	907	696	424	291	301	272	325	179	231	85	80	76	129	72	69	31	42	44	66	40	27	19	13	7	9	7	3	4	1	12	4	5	1	3	1	2	0	0	3	1	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0
0.03	north4_active	80	25735	5870	3952	2590	1794	2098	953	1376	803	428	1105	522	382	207	156	142	145	212	95	135	30	38	42	93	44	42	14	28	17	50	23	12	8	8	1	6	2	0	1	1	4	3	4	1	3	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0
0.03	north5_all	80	44558	12406	7784	5034	3528	3633	1957	2247	1441	869	1626	911	693	409	300	303	264	308	189	213	86	93	74	109	61	78	34	47	47	46	45	26	17	19	10	11	10	5	2	2	15	4	5	2	3	2	2	1	0	4	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0
0.03	north5_active	80	25890	5829	3882	2474	1710	2002	914	1380	820	419	1057	507	403	210	162	137	143	198	100	118	35	45	38	72	35	50	17	34	21	33	29	14	7	13	2	7	4	2	1	2	4	2	4	1	3	1	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_all	80	44399	12353	7747	4983	3532	3575	1902	2259	1380	880	1647	872	715	405	297	299	276	259	177	203	99	97	69	86	58	76	37	40	46	46	33	24	19	20	11	14	11	4	1	2	7	3	6	2	2	1	0	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
0.03	north6_active	80	25792	5730	3840	2491	1709	2035	910	1411	785	443	1029	463	399	217	159	136	154	155	98	111	46	43	33	56	30	55	14	28	25	36	26	14	10	13	3	9	4	2	0	2	1	2	5	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	42612	12128	7607	4970	3381	3423	1915	2196	1363	882	1579	864	731	400	288	290	264	239	184	179	99	94	59	77	66	75	38	37	53	40	32	21	22	18	10	10	11	6	2	2	9	1	6	6	2	1	0	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
