label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70
0.03	north1_all	80	36165	20147	8545	5480	3853	2814	2037	3792	1399	1671	733	983	572	708	474	271	274	158	150	133	200	110	84	70	46	47	40	28	24	19	19	13	9	14	16	16	16	4	11	2	6	0	3	6	1	1	3	2	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0
0.03	north1_active	80	15851	13481	2751	1525	1346	840	505	3281	697	1320	230	721	304	570	360	68	161	63	50	53	167	29	33	43	13	25	10	13	5	14	9	7	3	4	9	14	14	2	8	0	4	0	2	6	1	0	3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north2_all	80	36334	20130	8525	5471	3873	2840	2085	3659	1425	1613	738	954	568	701	505	263	258	171	150	131	199	107	94	65	49	48	32	26	24	29	18	14	11	18	13	17	20	4	10	2	5	1	2	4	1	0	3	3	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	2	0	0
0.03	north2_active	80	16147	13452	2781	1579	1335	827	527	3167	716	1245	220	705	284	549	387	81	146	73	46	47	167	33	42	46	11	26	5	12	5	21	9	6	4	7	6	14	17	2	6	0	4	0	1	4	1	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north3_all	80	36144	20153	8497	5420	3902	2777	2080	3743	1439	1667	732	965	573	759	546	248	245	185	161	111	213	96	86	65	44	52	37	20	26	21	18	19	12	19	11	18	10	6	7	0	2	1	4	20	1	0	1	2	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0
0.03	north3_active	80	16084	13369	2817	1544	1358	789	528	3284	759	1348	221	722	277	606	409	81	133	78	41	38	180	33	32	44	9	29	13	10	6	17	10	10	6	8	7	15	7	1	5	0	1	0	2	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	north4_all	80	36295	20128	8588	5398	3880	2797	2136	3654	1407	1784	717	974	541	736	523	259	225	209	172	113	204	89	85	56	47	61	37	25	22	25	21	14	14	20	11	39	13	7	5	2	4	2	2	18	1	0	2	1	0	2	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	16194	13287	2882	1529	1345	841	540	3211	766	1456	199	742	254	586	375	87	111	103	42	50	175	35	34	30	9	33	17	11	4	19	18	7	6	10	6	36	10	1	2	0	4	0	1	18	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	35963	20246	8546	5379	3877	2811	2076	3692	1453	1811	745	954	528	741	516	255	236	194	170	118	210	83	80	69	50	54	34	28	19	26	21	12	17	16	7	44	12	11	1	3	5	3	2	27	2	2	2	0	1	3	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	15925	13326	2874	1560	1350	844	505	3241	786	1467	215	722	240	582	365	88	114	89	35	51	174	33	36	33	9	34	17	10	3	21	17	7	7	9	4	42	9	5	0	1	4	0	1	27	2	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	35865	20147	8549	5361	3870	2777	2143	3510	1432	1823	755	952	530	707	501	259	241	194	149	129	216	89	56	66	54	51	28	27	19	25	31	10	19	6	8	39	14	9	2	6	5	2	0	14	1	2	5	3	1	2	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	15878	13313	2828	1598	1335	817	540	3047	756	1461	225	709	247	547	355	86	112	91	31	54	184	36	26	32	11	31	13	7	3	19	24	8	10	4	4	39	12	6	1	2	4	0	0	14	1	2	3	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_all	80	35735	19992	8645	5390	3828	2800	2079	3371	1482	1713	758	889	526	723	532	263	243	198	140	132	230	89	53	66	50	49	27	26	16	29	32	10	19	11	8	19	16	7	2	7	2	1	0	15	1	2	4	7	1	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north7_active	80	15751	13198	2882	1601	1324	784	548	2891	767	1364	221	646	260	560	372	88	128	90	34	54	196	34	26	29	10	34	9	5	2	23	19	7	9	7	5	19	14	6	2	2	1	0	0	14	1	2	3	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north8_all	80	35753	19939	8533	5420	3798	2780	2071	3452	1445	1663	758	901	545	756	523	255	263	204	143	117	219	82	48	60	42	51	26	23	22	32	31	14	16	12	8	21	12	8	3	6	6	1	1	4	0	2	8	7	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0
0.03	north8_active	80	15693	13134	2865	1531	1303	797	556	2949	746	1308	227	646	278	603	384	82	148	93	38	48	188	35	18	30	12	34	7	6	2	22	18	9	9	7	5	19	10	5	2	1	6	1	0	3	0	2	8	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0.03	north9_all	80	35542	20035	8551	5462	3864	2796	2104	3534	1450	1618	768	886	540	738	490	276	268	205	145	131	249	75	52	66	44	52	23	22	22	36	34	17	12	21	6	17	9	10	3	5	7	3	2	2	0	1	5	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
0.03	north9_active	80	15527	13198	2836	1489	1387	808	572	3008	758	1263	208	638	273	592	354	87	155	98	44	59	214	27	20	38	16	29	5	8	2	26	19	11	8	15	3	14	8	5	2	1	6	1	0	1	0	1	5	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north10_all	80	35512	19520	8428	5525	3953	2782	2076	3629	1424	1611	779	912	533	696	457	263	282	198	141	128	222	71	52	64	39	45	27	23	24	40	31	18	11	20	6	13	10	10	4	5	9	4	2	5	1	1	6	11	2	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0
0.03	north10_active	80	15192	12599	2713	1388	1357	785	550	3066	726	1252	196	649	256	562	337	76	167	92	36	50	184	25	15	40	14	24	5	9	4	25	22	9	7	15	2	10	8	5	3	2	7	2	0	5	0	1	6	11	2	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
0.03	north11_all	80	35807	19992	8535	5394	3989	2754	2124	3685	1485	1737	786	960	521	793	526	257	250	228	159	107	182	97	71	69	34	37	36	31	21	29	32	16	15	13	17	17	8	8	8	2	6	4	0	2	1	1	1	1	3	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	15938	13297	2721	1532	1310	838	554	3181	780	1400	223	680	263	634	372	72	128	106	43	35	144	36	30	35	8	27	12	9	3	27	23	11	9	5	8	16	7	1	7	1	5	4	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	35701	19737	8510	5430	4005	2808	2094	3771	1481	1655	795	904	534	869	504	256	268	228	160	116	199	104	80	63	45	40	26	32	20	32	35	16	13	16	12	15	20	6	10	4	3	3	0	3	2	0	1	1	2	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	15833	13077	2771	1566	1317	851	544	3248	771	1325	221	633	285	715	376	76	137	106	43	40	169	38	28	38	10	27	4	6	3	29	25	12	8	6	6	14	18	2	8	1	2	3	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
