label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71
0.03	south30_active	80	14933	18780	7365	6996	2564	1927	1684	1018	1373	491	777	293	234	317	127	110	172	154	102	57	56	40	32	40	51	24	20	51	11	7	7	16	15	5	5	7	7	1	3	4	2	4	1	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	29683	26121	11534	9492	4399	3202	2517	1694	1968	946	1100	579	487	463	327	204	316	281	203	109	90	58	57	93	73	46	20	66	41	18	15	16	19	11	5	10	8	6	2	7	3	3	3	4	3	2	1	0	1	0	2	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	13796	16224	6934	5768	2358	1773	1427	877	1201	453	680	259	247	257	161	85	181	148	124	49	39	24	28	54	48	22	8	46	27	8	8	9	13	3	1	4	6	3	2	6	1	0	1	1	1	1	0	0	1	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	29569	25665	11509	9466	4374	3178	2520	1637	1978	951	1117	623	500	470	307	214	320	301	191	111	95	67	57	83	80	55	24	44	37	19	13	17	11	11	7	9	9	6	5	5	3	2	1	3	1	1	1	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	13607	15789	6897	5715	2349	1718	1427	865	1203	485	690	282	241	258	153	92	192	161	115	48	51	29	24	44	41	26	9	36	27	8	6	11	5	4	1	2	7	3	5	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	29612	26026	11584	9611	4345	3164	2502	1569	2013	964	1062	585	497	459	299	240	338	308	183	103	89	77	55	74	88	40	20	46	42	16	10	17	13	11	6	3	12	7	10	10	2	2	2	3	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south33_active	80	13666	16112	6881	5841	2363	1680	1417	826	1224	506	657	271	242	249	147	108	201	175	111	45	49	26	25	37	38	15	10	35	30	4	3	11	6	5	1	0	9	2	8	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south34_all	80	29953	27106	11995	10350	4397	3221	2577	1599	2145	950	1146	615	498	487	277	237	345	285	201	99	95	71	65	90	116	45	23	53	42	19	14	15	14	6	9	3	11	5	8	7	2	2	1	3	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south34_active	80	14077	16771	7044	6416	2405	1675	1465	870	1343	507	654	298	259	275	122	112	201	157	133	53	49	29	30	45	66	21	12	28	26	4	8	7	4	2	3	1	9	2	6	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south35_all	80	30469	28208	12318	10796	4570	3263	2745	1700	2224	928	1181	599	469	508	282	237	353	288	216	120	97	68	59	112	132	43	27	69	39	22	13	15	11	4	11	6	16	5	8	11	2	2	1	3	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south35_active	80	14501	17544	7239	6727	2576	1709	1583	905	1398	496	719	290	251	282	122	109	196	167	139	63	41	27	25	66	92	25	16	27	23	5	9	7	2	1	3	3	15	2	6	3	1	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south36_all	80	30724	29149	12547	11315	4677	3212	2869	1862	2239	947	1281	612	488	534	290	240	347	335	210	124	114	69	66	125	135	42	30	72	30	24	11	16	11	5	10	10	19	7	3	9	2	2	4	5	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	14745	18339	7390	7157	2686	1707	1646	993	1397	484	796	286	249	311	135	110	208	203	130	67	55	25	22	64	98	20	15	24	17	9	7	8	2	1	3	7	14	2	1	3	1	0	2	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	30954	29342	12307	11333	4717	3293	2916	1911	2287	948	1265	573	486	526	296	230	346	353	190	117	106	63	72	113	116	52	33	60	23	21	11	15	19	8	10	13	14	5	2	5	2	5	4	3	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
0.03	south37_active	80	14840	18650	7281	7128	2693	1811	1682	1024	1390	500	827	272	244	305	141	106	199	226	112	60	52	27	26	69	82	28	15	20	13	9	7	7	6	3	5	9	10	2	1	3	1	2	2	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	30920	29393	12383	11063	4688	3296	2867	1851	2214	1011	1278	553	478	518	301	247	321	364	185	110	105	64	71	115	88	47	31	49	20	20	11	11	19	10	10	13	12	6	2	5	3	5	5	4	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1
0.03	south38_active	80	14800	18705	7303	7007	2611	1830	1619	995	1325	538	809	264	238	305	146	124	196	241	105	54	56	29	29	73	55	22	14	29	9	9	3	7	7	5	5	9	8	2	1	2	2	2	2	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	30940	29718	12429	10971	4652	3344	2813	1818	2162	1049	1284	563	508	509	308	244	330	370	201	102	95	61	75	85	83	45	29	61	16	14	13	11	21	15	8	16	5	11	1	5	2	4	3	1	0	0	0	0	4	1	0	0	3	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1
0.03	south39_active	80	14834	18901	7326	6904	2535	1861	1595	990	1298	546	791	284	256	297	136	128	201	248	117	47	45	30	34	60	52	24	15	36	6	7	3	5	8	8	5	11	4	6	1	2	1	2	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	30733	29903	12567	10885	4783	3442	2852	1825	2108	1042	1264	541	531	530	315	257	332	365	182	109	97	61	66	83	91	44	30	87	19	17	12	15	20	12	5	11	7	11	1	6	2	4	1	1	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south40_active	80	14812	18760	7401	6918	2602	1901	1610	998	1253	540	783	281	269	318	143	139	196	249	100	41	51	32	28	53	59	28	16	64	9	10	4	10	11	6	3	6	4	6	0	2	1	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
