label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88
0.03	north1_all	80	5334	1964	1027	682	483	445	330	748	336	354	227	148	108	112	94	91	72	53	38	77	49	45	26	21	32	31	27	18	20	14	21	6	7	6	14	15	7	2	6	5	6	4	1	1	1	2	4	0	3	1	3	4	2	0	1	7	3	2	0	4	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3087	1025	485	323	232	232	152	454	195	231	127	84	52	57	49	42	38	28	15	38	28	25	13	11	15	20	16	10	9	6	13	2	3	3	9	8	2	1	6	3	2	1	1	0	0	2	0	0	1	0	2	0	2	0	0	2	2	1	0	3	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5601	1985	1049	700	496	465	334	794	335	342	249	131	111	111	94	92	89	58	44	85	47	43	32	29	32	30	35	14	17	11	13	5	7	4	19	16	4	1	9	3	5	5	2	2	3	2	4	1	2	0	2	5	1	1	0	3	1	2	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3296	1080	509	325	228	244	167	521	209	213	144	70	57	51	48	45	50	29	17	48	24	25	12	18	14	20	20	9	9	5	13	3	4	2	14	8	1	0	8	2	2	1	2	1	2	2	1	0	1	0	1	1	1	1	0	1	0	1	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5680	2061	1064	705	528	466	349	854	374	378	255	132	110	101	105	82	96	58	38	84	42	53	30	24	28	31	37	10	17	13	14	7	7	5	15	15	5	2	13	2	3	7	1	3	3	1	4	2	2	0	1	2	0	2	1	3	2	2	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3389	1129	522	327	249	248	179	574	243	234	146	74	56	55	53	40	60	35	13	51	21	27	11	15	14	18	20	5	9	5	14	3	3	2	10	8	2	1	10	0	1	1	1	1	2	1	2	1	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5660	2060	1044	724	521	457	365	826	342	385	222	142	105	99	116	78	94	64	39	86	47	54	30	27	31	31	40	7	14	10	19	12	8	8	15	11	5	3	11	5	4	11	3	5	3	4	3	2	2	0	0	1	0	2	1	3	1	0	0	7	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3295	1130	511	349	240	248	201	566	230	245	131	74	47	56	61	40	53	37	15	58	24	24	12	15	14	18	21	3	8	3	18	7	4	3	12	4	2	2	7	3	2	2	3	1	2	4	3	1	0	0	0	1	0	1	1	2	0	0	0	7	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5661	2061	1061	719	508	466	381	858	346	388	203	143	118	95	123	72	94	59	34	100	37	60	24	21	30	29	39	8	11	9	18	14	7	10	13	8	4	3	10	7	6	13	4	4	3	6	2	1	1	1	1	1	1	1	2	1	2	1	0	7	3	0	0	3	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3304	1137	523	351	247	257	202	585	235	252	118	72	51	63	67	39	50	36	15	66	22	27	13	10	13	17	18	5	5	3	16	7	2	4	12	5	3	2	6	4	3	7	4	1	2	5	2	1	0	0	1	1	0	0	2	1	1	1	0	7	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
