label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172
0.03	north17_active	80	1490	767	441	739	960	192	492	196	372	221	171	94	102	132	90	90	45	71	48	41	91	27	46	48	43	68	15	47	50	15	16	32	24	13	25	24	8	9	8	14	30	14	12	11	10	14	15	6	2	12	9	11	8	6	3	7	2	5	7	4	2	3	4	10	2	0	6	2	1	6	1	0	6	2	3	3	0	0	0	1	0	2	2	0	5	0	0	3	0	0	2	3	0	1	0	0	1	0	0	0	0	1	0	3	1	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north18_all	80	3127	1607	975	1245	1735	425	811	372	677	421	312	190	204	207	178	177	97	134	96	84	154	58	80	90	67	130	39	89	103	39	29	55	34	31	39	41	26	19	22	34	51	20	25	18	11	40	23	15	8	15	18	24	15	12	14	17	9	7	15	10	4	7	6	12	7	9	5	8	2	11	8	2	18	2	7	7	1	0	3	6	1	3	6	3	9	2	1	8	0	1	2	6	2	0	0	0	5	0	2	1	0	1	3	2	1	0	0	0	2	2	0	2	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north18_active	80	1525	824	468	730	1063	188	528	208	438	251	166	96	108	120	99	97	47	80	49	48	96	22	42	57	38	80	13	61	63	16	20	39	22	14	23	26	12	8	11	17	38	13	14	12	9	23	16	10	2	14	10	16	8	7	6	10	4	4	7	8	3	4	3	10	5	3	4	2	2	5	4	0	12	1	4	3	0	0	0	1	0	2	2	1	7	0	0	8	0	0	2	5	0	0	0	0	2	0	0	0	0	1	0	2	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north19_all	80	3178	1682	989	1277	1943	431	803	345	666	434	299	174	201	191	191	174	99	132	91	88	153	60	77	92	68	115	46	121	119	47	34	59	36	30	34	32	31	19	23	36	66	19	21	14	17	55	31	17	10	19	17	28	11	19	13	17	12	6	17	12	2	7	4	11	8	14	4	12	2	7	10	1	24	4	7	7	1	0	2	2	2	2	7	3	5	2	0	8	0	1	5	7	3	0	1	0	5	0	1	1	2	0	3	2	2	0	3	0	2	2	0	2	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north19_active	80	1545	881	481	755	1240	203	516	199	424	273	156	80	108	106	104	97	47	76	41	45	89	26	43	63	32	73	17	81	80	21	24	38	23	18	20	19	18	7	11	24	49	12	11	10	12	38	22	13	3	17	12	17	6	8	6	11	4	1	9	8	2	3	3	9	7	7	3	3	2	6	5	0	18	2	4	5	0	0	0	1	1	2	1	1	3	0	0	8	0	0	5	5	1	0	0	0	2	0	0	0	1	0	1	2	2	0	0	0	2	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north20_all	80	3217	1735	988	1293	1981	408	871	354	696	440	300	166	192	213	191	150	101	129	98	91	146	62	81	99	59	146	48	124	125	38	37	80	36	34	46	33	30	19	25	33	74	12	15	17	19	59	32	20	14	15	13	33	8	19	10	13	20	7	17	10	6	7	4	7	10	13	4	7	1	2	11	0	19	5	5	6	0	0	3	4	2	1	8	1	7	3	2	5	1	0	9	5	2	0	1	1	4	0	0	1	2	0	1	0	1	0	4	0	1	1	0	0	1	2	2	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1545	918	461	783	1265	188	563	195	429	272	154	78	109	130	105	81	45	69	42	41	87	31	45	65	25	110	21	83	91	15	25	56	20	19	35	20	18	8	12	23	48	5	8	10	11	45	18	14	6	13	12	19	4	7	4	10	12	1	11	8	4	3	3	4	9	8	3	3	1	1	6	0	14	3	3	6	0	0	1	1	1	1	4	1	3	0	1	5	1	0	9	4	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	3099	1571	960	1146	1411	431	753	319	538	414	273	209	193	190	175	163	94	117	63	77	96	57	86	79	58	97	57	120	74	24	45	64	37	50	47	19	25	19	20	24	42	12	19	21	39	47	33	8	14	16	19	22	14	7	11	10	18	9	5	10	5	5	3	11	7	7	3	8	2	6	4	2	5	2	3	3	4	3	5	3	4	3	1	0	0	0	7	1	2	0	3	1	6	3	2	1	2	1	4	2	1	1	1	0	0	1	0	0	0	1	0	4	0	1	4	0	0	2	0	0	0	0	0	0	1	1	2	0	0	2	0	1	0	3	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	1458	734	449	698	895	211	499	174	345	261	158	102	94	114	100	93	55	56	32	35	60	24	54	51	31	70	30	76	54	13	23	36	22	40	27	7	13	8	9	17	29	6	8	11	29	25	21	4	6	11	16	13	3	3	5	6	9	4	5	3	1	2	2	11	7	4	2	4	1	4	3	1	4	1	3	1	1	2	1	1	2	3	0	0	0	0	4	1	1	0	3	0	3	1	0	1	2	1	4	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	3153	1628	912	1242	1576	439	785	327	536	456	282	187	195	208	176	185	97	127	65	87	114	70	91	87	60	87	50	138	90	23	43	66	41	49	46	23	22	21	29	24	55	16	18	19	35	47	41	7	18	20	19	24	5	10	10	12	28	7	6	6	4	3	5	15	5	7	4	7	1	8	3	2	5	1	3	3	4	2	5	4	2	2	4	1	3	1	6	1	2	0	0	0	4	4	1	1	2	0	5	2	1	2	1	0	0	0	0	0	0	0	0	4	0	0	2	1	0	1	1	1	1	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south22_active	80	1468	797	432	754	1038	208	501	185	339	278	166	95	85	129	87	103	54	70	34	40	62	23	52	49	32	58	25	88	66	10	24	38	20	41	25	12	12	8	17	17	29	10	7	10	22	23	25	3	9	15	13	16	2	5	6	9	21	4	4	2	0	2	2	10	5	4	2	2	1	5	3	1	4	1	3	1	1	1	3	3	1	2	4	1	3	0	4	1	1	0	0	0	1	1	0	1	1	0	5	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
