label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180
0.03	north14_active	80	1148	1516	718	984	263	148	296	1205	200	206	89	606	208	711	559	393	72	32	32	52	63	22	46	39	23	20	35	88	21	23	29	131	119	73	14	7	26	12	2	4	9	43	18	7	19	13	7	28	7	3	0	14	17	47	8	2	16	1	1	20	5	21	5	2	24	1	3	7	5	1	5	7	11	5	1	15	6	20	0	1	4	1	1	6	1	0	1	0	2	1	3	0	7	3	2	1	0	0	0	0	8	3	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	4698	2791	1576	1532	838	620	619	1342	421	377	283	730	313	735	615	471	162	141	123	122	115	88	102	78	84	75	82	98	53	55	61	167	135	111	37	22	43	19	19	12	28	53	28	13	32	19	26	31	18	24	10	20	13	63	12	5	25	7	8	16	11	20	7	6	19	8	6	9	16	3	6	15	12	6	1	12	6	21	3	4	2	2	4	8	5	2	1	1	4	2	3	0	10	2	2	1	2	1	1	1	8	3	2	1	0	0	0	0	2	0	0	1	2	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north15_active	80	1169	1561	733	1060	254	154	282	1182	195	195	97	642	201	667	538	417	69	35	33	51	65	25	49	26	29	24	42	80	20	26	28	153	122	92	11	5	31	11	3	4	11	41	18	6	27	13	7	26	7	4	0	13	9	61	6	1	22	0	1	14	6	18	3	3	16	1	2	7	12	2	4	9	11	4	1	11	6	19	2	3	2	1	1	7	3	0	0	0	3	1	3	0	9	2	2	1	1	0	0	0	8	3	0	1	0	0	0	0	1	0	0	0	2	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north16_all	80	4757	2769	1608	1544	836	621	615	1313	408	364	275	713	310	696	593	510	172	142	125	119	118	97	97	69	88	66	80	103	48	58	68	167	172	107	41	33	52	26	25	17	27	54	29	15	29	21	25	45	23	17	11	15	11	53	10	7	22	5	9	10	11	58	5	8	17	9	7	7	15	3	5	11	11	5	0	9	8	14	4	7	3	4	2	5	5	0	1	2	3	3	3	1	4	1	1	1	6	1	0	1	9	3	2	1	0	0	0	0	1	1	0	1	2	1	1	1	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0.03	north16_active	80	1207	1535	787	1053	249	160	280	1156	212	171	102	618	197	615	519	447	65	28	33	52	68	39	46	24	29	22	40	80	17	31	32	155	162	90	10	8	39	11	5	5	10	44	19	6	21	11	7	40	9	3	0	11	7	52	3	3	17	1	2	9	8	56	2	4	15	0	2	5	11	2	2	6	10	3	0	8	8	14	2	6	2	1	0	4	4	0	0	0	2	2	3	0	4	1	1	1	2	0	0	0	9	3	0	1	0	0	0	0	1	1	0	0	2	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0.03	north17_all	80	4742	2774	1623	1551	808	638	584	1386	394	334	273	662	285	692	589	570	164	136	146	116	114	110	95	74	80	67	74	112	48	65	63	138	160	90	44	34	67	30	26	21	32	59	21	20	38	21	20	34	21	16	10	12	12	61	10	9	34	5	9	12	12	60	7	11	16	9	6	4	17	3	5	8	12	2	2	9	8	11	4	8	4	4	2	2	7	1	1	3	2	2	0	1	2	1	2	0	7	1	0	1	3	4	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	2	0	1	0	1	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0.03	north17_active	80	1227	1529	799	1021	251	161	266	1216	206	144	97	573	173	618	513	503	61	29	39	54	65	48	42	23	28	23	28	92	18	40	27	127	150	74	9	9	53	7	4	7	12	50	10	8	31	8	5	29	8	2	0	9	7	58	4	3	28	1	3	12	8	56	2	5	14	1	2	2	13	2	2	4	11	1	2	9	7	10	2	8	2	0	0	1	6	0	1	0	1	1	0	0	2	1	2	0	3	0	0	1	3	4	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0.03	north18_all	80	4679	2711	1657	1576	791	661	590	1347	359	335	298	629	262	688	609	540	173	152	135	118	117	115	99	81	66	59	71	115	49	66	59	134	160	88	44	38	65	33	28	22	31	78	24	18	39	22	21	38	20	15	9	13	18	60	9	9	34	6	7	22	15	65	10	8	17	5	8	4	10	3	6	8	11	5	4	14	7	11	2	12	5	3	0	1	5	1	1	3	2	2	0	1	3	1	4	0	5	1	1	1	2	3	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0.03	north18_active	80	1174	1498	836	1040	252	146	253	1190	177	135	108	535	158	620	534	474	58	25	41	59	65	48	42	26	24	20	29	96	16	40	22	117	151	74	9	11	51	9	5	6	11	71	11	6	33	9	5	35	6	1	1	7	13	56	2	3	30	1	3	21	9	61	4	4	14	1	3	2	7	2	5	5	11	1	4	14	5	10	0	12	3	0	0	1	4	0	1	0	2	1	0	0	3	1	4	0	2	0	1	1	2	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
0.03	north19_all	80	4650	2797	1668	1523	794	662	573	1377	403	317	304	621	262	701	692	548	168	140	132	130	134	118	94	88	61	58	75	114	56	71	48	141	142	89	43	37	56	32	27	20	34	95	23	15	34	16	18	39	24	12	7	12	21	64	11	12	35	5	8	35	14	49	8	7	12	4	4	12	11	3	8	7	9	5	6	11	3	4	2	12	7	4	0	5	2	1	2	6	1	2	0	1	1	2	8	1	4	1	1	1	2	4	0	0	3	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
