label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156
0.03	north1_all	80	2912	872	691	370	395	341	226	240	320	173	159	114	214	120	69	119	53	68	68	43	39	65	36	50	64	29	46	82	20	38	22	39	9	15	17	23	13	20	36	6	6	11	27	11	12	8	7	13	2	6	4	10	10	4	8	5	7	3	3	6	11	2	0	3	2	6	2	2	1	5	5	7	0	2	0	3	1	2	6	2	0	1	3	2	1	1	0	5	2	2	2	1	0	4	1	0	1	1	0	1	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1710	394	356	167	218	184	110	132	211	104	86	55	137	72	32	58	28	32	37	22	21	32	19	34	41	14	24	51	14	26	10	23	4	10	11	16	6	13	22	3	1	6	17	5	9	6	4	7	2	5	3	7	7	3	1	3	4	3	0	4	6	0	0	2	1	5	1	1	1	0	1	4	0	1	0	2	1	2	5	1	0	0	2	0	0	1	0	2	0	1	2	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2875	862	701	374	396	352	233	211	346	194	168	114	211	131	64	132	64	71	77	37	41	82	36	55	63	35	35	66	29	52	18	47	8	18	16	23	15	26	32	4	7	10	24	13	18	6	6	15	8	3	5	10	4	7	8	3	7	3	1	5	7	9	1	5	3	6	4	3	4	4	4	3	1	6	0	3	2	0	4	4	0	1	2	2	3	1	1	9	2	1	2	0	0	3	2	0	1	1	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_active	80	1693	392	365	170	204	197	129	114	231	113	99	57	132	74	28	74	33	33	39	18	18	43	21	42	33	14	16	38	23	41	7	30	4	11	9	16	7	17	25	2	1	5	14	5	13	4	3	12	4	2	3	7	3	4	1	2	6	2	1	3	7	8	0	2	1	5	1	1	4	0	0	1	0	5	0	2	2	0	2	2	0	0	1	0	2	1	1	5	0	1	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north3_all	80	2849	896	702	376	377	349	240	208	339	204	186	127	212	139	57	136	74	72	71	37	40	83	28	49	60	36	44	83	30	59	18	48	10	26	15	20	14	27	34	4	8	9	25	17	16	4	8	16	9	2	5	12	3	6	6	2	9	5	1	2	7	11	1	2	2	3	3	5	4	2	2	2	2	6	0	3	5	0	4	3	0	1	0	2	4	1	1	5	2	3	3	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0
0.03	north3_active	80	1631	412	369	169	177	197	133	114	225	117	105	69	135	71	26	72	39	36	38	17	17	46	17	34	33	14	22	56	21	49	7	29	4	16	8	14	8	13	18	2	2	5	19	9	12	2	2	11	5	1	3	11	1	3	4	2	5	3	1	1	6	9	0	0	1	1	1	1	4	0	0	1	1	5	0	2	4	0	2	2	0	0	0	0	3	0	1	4	0	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north4_all	80	2745	900	698	393	364	352	232	210	332	187	195	130	230	144	75	119	77	60	69	40	41	76	23	40	51	37	46	80	29	62	18	45	16	25	10	16	16	27	35	6	7	8	18	13	18	3	8	17	11	3	6	14	3	8	5	4	6	6	2	4	9	17	1	3	3	2	3	6	3	2	4	0	2	7	0	1	6	0	3	4	1	2	1	1	3	2	1	5	1	3	8	0	0	0	1	0	0	0	1	0	1	0	1	4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0
0.03	north4_active	80	1559	413	378	175	160	205	130	118	219	94	119	66	145	73	34	63	37	34	40	18	19	47	13	27	26	13	24	53	19	51	8	30	7	16	5	15	8	14	19	3	3	6	12	8	14	1	2	10	6	2	3	11	0	5	3	3	3	3	1	0	6	15	0	1	2	0	1	2	3	0	3	0	1	5	0	0	4	0	2	2	0	0	0	0	3	0	1	4	0	2	8	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north5_all	80	2781	868	714	407	366	353	222	218	321	180	207	125	242	135	76	113	73	56	76	38	35	69	29	34	44	33	39	100	32	54	21	49	18	27	13	15	13	25	33	6	7	9	15	14	15	7	4	14	7	5	6	14	6	6	5	4	7	5	5	4	10	15	0	2	3	2	2	5	6	3	6	0	3	1	3	1	6	0	2	1	1	2	1	1	3	2	0	3	1	4	6	0	0	0	0	0	0	0	1	0	1	0	0	5	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
0.03	north5_active	80	1581	392	389	181	179	206	122	127	213	93	129	62	163	70	38	61	37	27	47	14	17	46	15	21	20	13	20	71	19	45	11	33	8	17	8	13	7	15	17	3	3	6	7	9	11	0	1	6	5	5	3	9	3	4	3	3	2	3	2	0	6	12	0	1	2	0	0	2	5	0	5	0	1	0	2	0	4	0	2	0	0	1	0	0	3	0	0	1	0	3	6	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
