label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59
0.03	north1_all	80	2112	1040	592	1524	391	218	194	212	87	139	45	42	72	58	26	24	110	20	8	4	11	5	6	14	11	4	10	1	5	2	1	2	2	2	0	7	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
0.03	north1_active	80	979	522	300	986	240	92	114	129	45	92	20	19	41	38	13	16	77	10	4	2	4	2	4	9	1	3	10	1	4	1	0	2	1	0	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2065	1012	587	1437	389	202	208	190	78	135	48	41	67	53	27	22	86	16	10	9	8	8	8	13	18	4	9	2	4	3	2	4	3	3	2	7	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
0.03	north2_active	80	960	493	297	920	231	82	121	117	38	88	21	20	37	36	13	9	57	7	5	4	3	3	6	8	9	3	8	2	4	2	1	2	2	0	2	6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2068	1008	574	1248	369	201	190	182	83	129	52	42	70	50	28	22	92	15	12	11	8	6	8	10	15	2	8	1	2	2	2	13	3	2	2	7	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north3_active	80	947	508	291	833	217	96	111	116	39	80	25	23	41	32	14	11	63	7	9	5	4	1	6	4	11	1	6	1	2	1	1	11	2	0	2	6	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2012	1029	555	1114	353	207	189	170	81	112	59	45	60	45	22	17	71	14	14	10	10	6	6	12	17	2	12	3	1	2	1	12	2	1	2	12	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
0.03	north4_active	80	917	528	264	756	195	101	117	111	39	69	23	25	39	25	10	7	57	7	9	4	6	2	5	6	15	1	10	1	1	1	1	9	1	0	2	11	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	1966	948	552	1092	337	206	161	182	84	115	63	49	50	41	25	18	62	23	15	6	9	6	4	16	9	1	12	4	3	2	2	10	2	1	0	5	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north5_active	80	898	493	253	728	178	117	99	115	37	77	28	26	33	21	10	7	45	13	8	3	7	1	2	9	7	0	9	1	1	1	1	9	1	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	2038	959	532	1243	349	212	178	173	87	129	63	43	41	47	25	26	59	26	11	7	12	7	5	20	8	1	8	4	6	1	5	10	0	1	0	5	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	923	489	238	823	190	111	114	95	38	94	27	18	22	23	9	14	44	16	5	3	10	3	1	9	6	0	5	1	4	0	2	8	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_all	80	2107	971	565	1408	358	224	189	169	92	133	61	34	47	41	23	36	57	27	9	6	6	10	6	22	6	2	7	3	7	0	5	1	0	2	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	967	491	264	963	191	118	114	86	37	87	26	14	22	19	5	17	44	16	4	4	4	6	1	10	1	1	4	1	4	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	2094	978	584	1456	372	206	227	166	83	149	55	44	53	46	19	34	47	22	8	4	5	10	5	30	7	3	8	0	5	0	4	2	0	2	2	0	1	1	2	0	0	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	970	495	286	1006	198	109	138	75	35	96	24	17	26	22	7	16	35	9	3	2	3	6	2	14	3	1	5	0	4	0	2	0	0	0	2	0	1	0	0	0	0	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	2126	998	603	1545	393	208	251	165	81	153	50	54	70	43	18	31	41	30	14	1	3	8	7	23	7	6	6	2	1	1	2	5	0	4	6	0	1	2	1	0	0	1	0	0	6	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north9_active	80	989	509	307	1086	217	114	145	86	31	95	21	24	39	24	6	14	29	14	4	1	1	4	4	13	2	4	4	1	0	1	0	3	0	2	5	0	1	1	0	0	0	1	0	0	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	2115	1005	635	1530	409	188	253	171	78	150	54	58	75	56	23	24	35	37	16	1	7	10	8	19	9	6	8	5	2	1	1	7	0	4	6	0	1	2	0	1	2	0	0	1	5	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0
0.03	north10_active	80	1015	500	324	1065	229	97	150	98	29	93	23	28	48	32	12	6	23	23	6	1	1	6	5	9	7	3	6	3	2	1	0	5	0	2	5	0	1	2	0	0	2	0	0	1	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	2137	1043	643	1577	396	196	217	174	96	136	53	47	54	48	16	28	80	46	9	6	10	6	5	16	17	3	9	3	2	0	5	0	1	1	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north11_active	80	1003	493	318	1179	213	100	119	97	38	81	25	23	32	33	4	18	64	33	3	3	7	2	1	11	10	0	7	1	1	0	3	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	2064	976	632	1394	400	185	213	164	84	137	66	54	45	44	15	24	76	48	7	8	9	4	5	12	11	3	8	4	3	0	4	3	1	0	1	0	0	0	0	2	1	0	0	0	5	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0
0.03	north12_active	80	960	481	313	1015	220	97	107	93	36	83	31	24	28	26	2	16	53	34	1	4	4	2	2	11	9	0	5	1	1	0	2	3	0	0	1	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	2057	998	615	1284	375	177	197	173	77	124	56	47	47	42	19	23	50	40	11	7	7	13	6	14	7	2	10	2	7	1	3	4	0	1	3	1	0	0	0	2	1	0	0	1	5	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north13_active	80	928	488	302	916	217	95	100	95	37	74	26	21	28	22	5	16	29	25	4	4	3	11	2	11	5	0	7	1	2	0	2	3	0	1	3	1	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north14_all	80	2067	976	602	1147	344	175	187	152	68	106	54	42	52	42	26	18	41	38	11	7	5	12	5	8	6	1	12	2	5	1	1	5	0	3	3	1	0	1	0	2	0	0	0	2	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north14_active	80	936	475	299	796	191	96	93	77	29	66	24	18	34	20	6	11	25	25	4	4	2	9	1	5	5	0	6	1	1	0	0	3	0	2	3	1	0	1	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north15_all	80	2084	991	615	1194	362	177	207	183	94	123	44	43	57	57	27	26	41	27	11	7	6	14	7	12	10	0	17	1	4	1	3	5	0	5	2	1	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north15_active	80	959	471	312	810	203	97	108	94	48	84	22	27	39	32	11	11	27	18	5	4	3	9	2	8	3	0	11	0	1	0	2	3	0	3	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
