label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65
0.03	north1_all	80	10685	4166	2993	3298	874	1499	486	764	453	293	213	278	130	126	199	103	126	87	104	42	28	27	41	19	16	7	11	13	12	4	7	6	5	1	5	7	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	6077	2205	1776	2135	413	937	228	500	270	151	127	145	57	60	133	51	72	52	75	29	13	19	21	8	12	4	5	6	8	3	4	4	0	1	3	7	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	10818	4211	3069	3199	892	1523	478	822	438	309	224	295	122	120	195	94	118	78	98	45	31	34	44	16	23	9	7	18	11	4	6	7	7	1	5	7	1	2	1	1	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6208	2219	1836	2096	405	955	218	525	252	158	133	148	56	53	125	44	67	45	67	30	15	21	26	5	17	6	4	11	6	2	4	4	1	0	3	7	0	2	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	10681	4138	3077	3230	894	1583	501	793	438	285	203	287	115	138	180	84	118	73	99	48	30	33	50	18	30	9	9	16	9	3	6	6	7	3	3	7	1	2	3	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	6095	2194	1841	2114	414	998	230	486	261	149	119	142	61	64	125	38	72	38	70	33	18	21	28	6	22	4	6	10	4	2	4	4	2	0	3	7	1	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	10768	4227	3088	3254	914	1570	471	759	455	278	211	263	120	150	189	90	107	79	93	53	31	36	50	23	29	13	8	19	9	6	4	7	6	4	2	2	1	2	6	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	6166	2276	1848	2151	426	977	208	451	266	147	118	138	66	84	127	51	64	46	63	35	16	18	27	10	19	9	5	13	3	3	2	5	3	0	2	2	1	1	4	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	10825	4110	3049	3331	922	1550	471	780	438	281	211	236	111	158	174	112	101	83	120	55	34	36	39	24	21	14	8	16	9	5	7	7	7	3	0	3	2	4	7	0	1	1	0	0	0	0	1	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	6173	2235	1823	2185	431	986	203	478	262	148	112	121	62	89	119	70	54	57	80	33	16	21	18	11	11	10	4	7	6	2	3	4	4	0	0	3	2	2	4	0	1	0	0	0	0	0	1	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
