label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69
0.03	north1_all	80	11516	4481	3071	2095	1228	916	1317	501	484	291	281	284	213	143	279	157	105	64	54	46	47	33	25	46	13	23	10	12	20	10	16	24	4	4	8	2	4	4	1	3	0	1	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	5962	1121	1637	1231	438	343	1069	140	282	69	142	183	81	30	230	108	67	23	17	19	31	10	8	36	3	8	4	3	19	6	12	22	3	3	8	1	3	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	11797	4420	3079	2186	1297	916	1445	504	527	287	282	309	193	136	295	197	99	68	59	44	46	39	27	46	17	18	12	14	22	9	13	18	4	9	8	3	2	3	0	0	0	1	1	1	0	0	3	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6294	1131	1700	1350	495	371	1222	154	329	61	150	198	78	36	246	149	65	19	21	24	29	12	10	36	6	4	4	5	17	5	9	17	3	6	8	2	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	12204	4407	3156	2259	1305	939	1522	488	580	302	300	317	188	139	279	213	113	66	57	46	46	44	29	45	21	23	11	14	15	11	6	13	6	11	6	4	6	3	2	3	0	1	1	0	1	0	1	2	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north3_active	80	6783	1162	1822	1452	513	404	1285	166	371	82	175	211	78	44	228	164	85	15	20	26	27	15	9	36	7	7	4	5	11	7	5	12	6	7	6	4	6	1	1	3	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north4_all	80	12394	4431	3261	2334	1335	946	1539	524	641	327	320	353	170	147	256	206	127	70	47	46	43	39	23	34	18	20	14	12	23	6	4	17	10	17	12	3	6	2	2	4	2	2	1	0	1	0	1	2	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north4_active	80	7142	1157	1959	1537	535	424	1310	194	444	104	191	249	73	45	215	154	100	19	18	24	28	14	9	27	6	8	3	5	17	5	3	16	9	13	12	3	6	0	1	3	2	2	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north5_all	80	12615	4412	3326	2403	1302	930	1647	550	660	344	340	353	183	151	247	202	138	65	49	57	48	49	28	29	20	19	14	15	30	4	4	16	14	17	13	5	13	1	2	4	4	6	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north5_active	80	7481	1158	2029	1630	542	420	1399	214	456	117	202	268	83	46	200	155	107	22	19	32	33	23	10	26	7	9	5	6	26	3	2	15	12	12	12	4	13	0	1	3	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
