label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66
0.03	north1_all	80	9053	4295	2695	2912	1539	707	660	341	407	308	262	255	153	159	100	66	94	88	28	69	51	55	51	24	24	14	23	21	12	8	8	7	7	10	4	3	3	2	3	2	0	5	2	3	1	0	0	1	1	1	0	2	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0
0.03	north1_active	80	4934	2384	1539	1836	918	346	368	156	211	168	155	146	76	101	53	27	56	52	14	37	24	35	33	19	14	9	14	13	8	5	6	4	4	6	1	0	2	1	2	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north2_all	80	8790	4240	2553	2769	1465	690	646	369	411	309	238	235	138	139	109	56	84	94	37	53	63	42	51	21	17	20	26	22	13	8	10	8	10	10	7	2	2	3	2	2	0	5	2	3	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	4728	2348	1393	1753	879	340	343	172	226	162	124	129	73	83	51	22	53	56	17	32	35	26	32	18	11	13	20	16	7	2	7	2	5	5	2	0	1	3	2	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_all	80	8758	4190	2492	2749	1467	698	654	379	423	324	216	244	145	158	100	62	75	85	34	69	65	37	40	14	15	24	29	29	11	6	11	14	11	6	6	2	3	3	2	2	1	1	2	2	0	0	0	1	0	1	0	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	4645	2322	1371	1748	891	342	346	185	236	166	106	143	72	90	49	28	45	43	15	45	36	23	23	9	10	17	23	22	5	2	8	6	3	2	1	0	2	3	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9085	4237	2630	2972	1566	683	679	363	410	330	241	238	136	160	102	67	68	77	43	66	73	41	49	21	14	34	31	25	11	7	9	14	8	4	7	1	1	3	1	2	2	0	0	2	0	0	0	2	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	4892	2386	1511	1879	968	348	370	165	239	165	129	146	66	88	43	28	38	37	17	43	47	21	30	15	6	18	23	19	6	1	5	8	3	2	2	1	1	3	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	9332	4357	2685	3067	1645	732	704	350	417	334	241	269	147	180	89	76	73	84	48	65	72	45	46	23	15	36	31	21	7	9	7	19	9	3	6	9	2	1	2	3	3	0	1	0	0	1	1	2	1	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	5068	2455	1552	1913	982	362	378	163	235	167	137	165	70	106	38	34	42	34	23	46	48	26	30	15	7	21	22	14	5	6	4	11	4	1	1	7	2	1	2	1	2	0	0	0	0	1	0	1	1	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	9558	4466	2693	3192	1670	767	728	348	413	337	261	270	155	159	79	87	80	86	42	82	67	61	55	33	18	30	30	16	9	12	7	11	5	6	4	11	5	0	2	3	2	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	5260	2510	1552	2046	1026	395	412	165	227	176	152	167	75	91	34	41	47	41	22	58	46	37	36	22	9	14	22	6	6	7	3	6	3	2	1	9	3	0	2	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	9573	4412	2745	3151	1646	784	693	376	473	345	258	281	163	177	73	96	86	75	36	68	96	64	44	38	17	29	29	21	13	12	6	13	6	6	2	10	7	0	1	3	1	0	1	0	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	5287	2480	1571	2014	981	416	385	166	275	187	139	170	83	97	34	53	50	38	21	45	77	44	32	23	10	14	23	11	6	7	2	7	5	2	0	8	4	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
